SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
1797603,301018,-4,24.0,19.0,Active,0,0
1532492,215922,-10,12.0,11.0,Active,0,0
2691550,158402,-54,12.0,7.0,Active,0,0
2642653,288677,-19,61.0,49.0,Active,0,0
1104228,423365,-55,12.0,1.0,Active,0,0
1901869,123682,-8,24.0,24.0,Active,0,0
2481714,243944,-24,24.0,23.0,Active,0,0
1442783,324383,-19,36.0,29.0,Active,0,0
2009824,122864,-12,24.0,13.0,Active,0,0
1676221,280647,-44,6.0,1.0,Active,0,0
1635202,166202,-79,4.0,0.0,Completed,0,0
2704887,240467,-5,24.0,17.0,Active,0,0
2191742,297616,-89,12.0,0.0,Active,336,0
2533259,257307,-88,9.0,6.0,Active,0,0
1207794,301907,-94,10.0,4.0,Active,0,0
2579927,154941,-40,8.0,7.0,Active,0,0
2497014,258788,-42,12.0,0.0,Completed,0,0
1811933,379880,-41,18.0,13.0,Active,0,0
1613834,187200,-28,12.0,3.0,Active,0,0
1179492,361056,-60,9.0,8.0,Active,0,0
1523573,129655,-3,12.0,2.0,Active,0,0
1798301,420756,-29,10.0,9.0,Active,0,0
2552054,334569,-16,24.0,23.0,Active,0,0
2522456,210278,-28,6.0,4.0,Active,0,0
2793188,440049,-44,18.0,2.0,Active,0,0
2328074,263503,-14,6.0,4.0,Active,0,0
2528438,438517,-10,24.0,0.0,Completed,0,0
2818015,297885,-12,24.0,15.0,Active,0,0
2803723,228572,-37,18.0,18.0,Active,0,0
2053326,215569,-23,12.0,2.0,Active,0,0
2049228,119544,-66,10.0,10.0,Active,0,0
2411946,161312,-25,12.0,12.0,Active,0,0
1294439,355005,-12,12.0,10.0,Active,0,0
1919184,420031,-38,24.0,12.0,Active,0,0
1984982,187658,-22,24.0,15.0,Active,0,0
1979075,227675,-1,48.0,36.0,Active,0,0
2486315,411372,-27,10.0,0.0,Completed,0,0
1451168,232767,-56,12.0,0.0,Completed,0,0
1334137,373155,-20,36.0,25.0,Active,0,0
1079442,339334,-18,10.0,10.0,Active,0,0
2598956,243119,-62,42.0,19.0,Active,0,0
2559530,139869,-7,12.0,0.0,Active,0,0
2263365,172237,-90,4.0,0.0,Active,0,0
2184500,218669,-35,14.0,7.0,Active,0,0
2664322,221234,-19,36.0,30.0,Active,0,0
1815388,286300,-13,60.0,56.0,Active,0,0
2120047,217720,-24,18.0,15.0,Active,0,0
2119705,332541,-27,12.0,5.0,Active,0,0
1165692,387247,-7,10.0,8.0,Active,0,0
1267134,203212,-17,12.0,10.0,Active,0,0
1891331,197413,-31,24.0,21.0,Active,0,0
1740304,136099,-39,12.0,9.0,Active,0,0
2053571,202414,-18,24.0,12.0,Active,0,0
1160069,217769,-25,1.0,0.0,Completed,0,0
1435788,194039,-11,36.0,1.0,Active,0,0
1030101,228563,-42,18.0,13.0,Active,0,0
2270124,196221,-59,4.0,3.0,Active,0,0
2191579,439621,-69,8.0,1.0,Active,0,0
2235483,256605,-21,12.0,12.0,Active,0,0
2075291,127330,-14,36.0,25.0,Active,0,0
1999034,303792,-16,42.0,37.0,Active,0,0
2586092,287454,-72,10.0,0.0,Active,0,0
1033312,347267,-19,24.0,13.0,Active,0,0
2780553,171501,-36,48.0,39.0,Active,0,0
2362180,143779,-31,1.0,0.0,Completed,0,0
1430188,159062,-63,12.0,1.0,Active,0,0
1465722,302544,-91,10.0,0.0,Completed,0,0
2701185,315482,-38,24.0,5.0,Active,0,0
1327323,255884,-33,6.0,6.0,Active,0,0
1796808,201282,-60,10.0,7.0,Active,0,0
2210880,446356,-19,36.0,27.0,Active,0,0
2378514,194685,-24,24.0,6.0,Active,0,0
1150198,259436,-29,4.0,3.0,Active,0,0
1536318,359707,-53,10.0,6.0,Active,0,0
1461649,341461,-20,48.0,47.0,Active,0,0
1767150,379561,-16,11.0,2.0,Active,0,0
1597372,104546,-4,9.0,0.0,Completed,0,0
1730842,396329,-34,12.0,7.0,Active,0,0
2054068,173814,-5,12.0,9.0,Active,0,0
2796005,141911,-22,18.0,15.0,Active,0,0
1295969,269050,-22,12.0,10.0,Active,0,0
1116897,438909,-3,42.0,17.0,Active,0,0
1724456,296724,-17,18.0,15.0,Active,0,0
1385631,190459,-59,16.0,0.0,Completed,0,0
2054286,162909,-82,10.0,4.0,Active,0,0
2399865,453329,-7,12.0,0.0,Completed,0,0
2343476,411508,-4,36.0,31.0,Active,0,0
2713923,262700,-8,12.0,11.0,Active,0,0
1744108,292388,-60,5.0,5.0,Active,0,0
2499389,276626,-59,12.0,8.0,Active,0,0
1499770,353695,-11,18.0,17.0,Active,0,0
1523320,209553,-31,24.0,4.0,Active,0,0
2403060,234568,-43,6.0,1.0,Active,0,0
1488634,322762,-41,24.0,16.0,Active,0,0
1074822,420211,-79,6.0,1.0,Active,0,0
1139951,179564,-64,12.0,0.0,Completed,0,0
1682372,119967,-20,6.0,6.0,Active,0,0
2099733,219810,-17,60.0,60.0,Active,0,0
1385244,120138,-95,4.0,2.0,Active,0,0
2362707,360001,-40,60.0,55.0,Active,0,0
2508638,392243,-3,6.0,2.0,Active,0,0
1154122,397071,-91,10.0,5.0,Active,0,0
1586535,287535,-51,12.0,2.0,Active,0,0
2050962,375199,-20,16.0,9.0,Active,0,0
2725637,117136,-10,10.0,1.0,Active,0,0
2179313,246170,-15,12.0,6.0,Active,0,0
2396202,350936,-13,30.0,25.0,Active,0,0
2674177,407628,-16,42.0,33.0,Active,0,0
1356498,264011,-26,6.0,5.0,Active,0,0
2152832,338813,-85,10.0,6.0,Active,0,0
2210882,146201,-59,12.0,3.0,Active,0,0
2225735,127322,-21,12.0,6.0,Active,0,0
1604232,180305,-55,18.0,14.0,Active,0,0
1099685,387322,-1,36.0,30.0,Active,0,0
1560113,105310,-82,10.0,3.0,Active,0,0
2007586,397186,-32,12.0,11.0,Active,0,0
2188974,324261,-9,10.0,8.0,Active,0,0
1465281,430588,-13,10.0,2.0,Active,0,0
2240351,366454,-22,12.0,4.0,Active,0,0
1194888,365997,-24,10.0,1.0,Active,0,0
1651177,125505,-35,12.0,11.0,Active,0,0
1673178,145328,-33,36.0,36.0,Active,0,0
1231144,365133,-4,48.0,11.0,Active,0,0
2032497,394187,-67,10.0,4.0,Active,0,0
2167784,430958,-95,8.0,6.0,Active,0,0
1155379,288122,-38,10.0,0.0,Completed,0,0
1240227,115424,-4,24.0,8.0,Active,0,0
2665393,214877,-13,6.0,4.0,Active,0,0
1131545,122073,-2,60.0,57.0,Active,0,0
1290215,393876,-58,8.0,1.0,Active,0,0
1932588,220784,-79,6.0,0.0,Completed,0,0
1317429,309640,-49,10.0,7.0,Active,0,0
2476961,184137,-60,6.0,1.0,Active,0,0
2558589,152891,-21,12.0,9.0,Active,0,0
1411583,220287,-25,12.0,8.0,Active,0,0
2818766,238800,-25,10.0,2.0,Active,0,0
1080604,304708,-85,7.0,6.0,Active,0,0
2220071,136116,-1,24.0,9.0,Active,0,0
1088756,336998,-49,18.0,2.0,Active,0,0
2459814,391628,-6,24.0,18.0,Active,0,0
1266029,224148,-23,24.0,22.0,Active,0,0
2379917,219538,-18,12.0,10.0,Active,0,0
1179397,449160,-19,18.0,10.0,Active,0,0
1735997,167440,-20,12.0,11.0,Active,0,0
2256880,455647,-1,12.0,3.0,Active,0,0
1362020,198944,-77,4.0,0.0,Completed,0,0
1262128,291591,-7,12.0,2.0,Active,0,0
2784660,319742,-2,6.0,2.0,Active,0,0
2310047,257564,-23,36.0,11.0,Active,0,0
1908030,451198,-3,12.0,1.0,Active,0,0
1360168,355065,-86,10.0,8.0,Active,0,0
1101172,433938,-2,24.0,7.0,Active,0,0
1588989,118224,-16,10.0,7.0,Active,0,0
2720084,143550,-95,12.0,0.0,Active,0,0
2334966,187877,-29,24.0,2.0,Active,0,0
1936865,383435,-70,24.0,6.0,Active,0,0
1389875,181986,-49,18.0,7.0,Active,0,0
1830809,116741,-57,11.0,12.0,Active,0,0
2341149,429433,-17,12.0,4.0,Active,0,0
1205778,110939,-64,12.0,1.0,Active,0,0
1161473,192672,-44,24.0,5.0,Active,0,0
2560203,398861,-76,12.0,11.0,Active,0,0
2037931,291505,-24,,,Signed,0,0
2255370,178943,-14,15.0,0.0,Completed,0,0
1211231,383450,-22,36.0,20.0,Active,0,0
1563656,394959,-54,18.0,17.0,Active,0,0
2745220,433616,-21,,,Approved,0,0
2710189,133835,-78,11.0,7.0,Active,0,0
1317536,422518,-6,12.0,11.0,Active,0,0
2725993,171362,-95,12.0,10.0,Active,0,0
1603180,338833,-39,30.0,28.0,Active,0,0
1767468,189382,-63,16.0,16.0,Active,0,0
1729534,131091,-13,24.0,22.0,Active,0,0
2031899,154293,-6,12.0,6.0,Active,0,0
1255188,155815,-15,10.0,9.0,Active,0,0
1254822,281501,-12,12.0,11.0,Active,0,0
1852119,162501,-9,12.0,8.0,Active,0,0
2233592,194628,-77,10.0,7.0,Active,0,0
1844615,434853,-1,18.0,5.0,Active,0,0
1003470,264735,-63,24.0,14.0,Active,0,0
1360867,183585,-21,14.0,12.0,Active,0,0
2663086,313764,-84,12.0,5.0,Active,0,0
2360116,193193,-14,18.0,12.0,Active,0,0
2240092,292364,-16,24.0,7.0,Active,0,0
2572619,310465,-18,36.0,27.0,Active,0,0
1284490,393553,-25,12.0,12.0,Active,0,0
1675722,198267,-33,18.0,14.0,Active,0,0
1052997,308996,-33,7.0,0.0,Completed,0,0
1171402,286854,-62,12.0,11.0,Active,0,0
2816885,387898,-9,10.0,3.0,Active,0,0
2801758,184090,-21,12.0,9.0,Active,0,0
2118749,313064,-79,12.0,3.0,Active,0,0
2594506,340855,-2,10.0,3.0,Active,0,0
2179813,179912,-72,4.0,1.0,Active,0,0
1188713,314664,-66,24.0,18.0,Active,0,0
2424573,368629,-86,24.0,19.0,Active,0,0
1594434,116076,-22,12.0,0.0,Active,0,0
2013643,175059,-23,24.0,24.0,Active,0,0
1222951,198177,-13,36.0,15.0,Active,0,0
1054829,369956,-40,16.0,13.0,Active,0,0
1077255,382197,-38,12.0,7.0,Active,0,0
1513379,312221,-10,6.0,6.0,Active,0,0
2058652,331395,-9,10.0,3.0,Active,0,0
1623055,106969,-22,12.0,2.0,Active,0,0
1255243,419584,-17,24.0,24.0,Active,0,0
1617705,343293,-42,12.0,1.0,Active,0,0
1179616,128951,-84,12.0,12.0,Active,0,0
2030238,158903,-39,6.0,4.0,Active,0,0
1441945,261261,-3,24.0,10.0,Active,0,0
1217357,286876,-8,16.0,9.0,Active,0,0
2291724,304786,-43,8.0,1.0,Active,0,0
2718757,224057,-9,6.0,6.0,Active,0,0
1821844,270511,-27,10.0,3.0,Active,0,0
1886979,395810,-13,18.0,6.0,Active,0,0
2177784,342749,-67,12.0,3.0,Active,0,0
2320455,239017,-60,12.0,9.0,Active,0,0
1649445,400290,-53,5.0,2.0,Active,0,0
1711753,164924,-64,4.0,3.0,Active,0,0
2569892,376837,-28,6.0,6.0,Active,0,0
2119023,400505,-3,24.0,1.0,Active,0,0
2472950,264837,-50,11.0,11.0,Active,0,0
1784840,418381,-68,12.0,5.0,Active,0,0
2275784,219213,-25,24.0,18.0,Active,0,0
1313634,390443,-47,12.0,10.0,Active,0,0
1783240,357530,-12,24.0,6.0,Active,0,0
1082134,226624,-49,16.0,2.0,Active,0,0
1470413,339011,-78,18.0,6.0,Active,0,0
2395168,242680,-59,12.0,7.0,Active,0,0
2074365,127015,-58,11.0,6.0,Active,0,0
1159971,395403,-21,24.0,16.0,Active,0,0
1286306,285227,-20,36.0,17.0,Active,0,0
2369547,451129,-44,12.0,12.0,Active,0,0
1186026,183940,-47,24.0,14.0,Active,0,0
2180071,173767,-18,60.0,51.0,Active,0,0
1728507,403263,-58,24.0,3.0,Active,0,0
1130857,161291,-81,24.0,11.0,Active,0,0
2305116,449500,-13,18.0,13.0,Active,0,0
1193061,373380,-16,36.0,34.0,Active,0,0
1648712,275539,-3,12.0,1.0,Active,0,0
1612940,275059,-20,24.0,14.0,Active,0,0
2597019,234793,-43,9.0,0.0,Completed,0,0
1777377,229973,-45,10.0,6.0,Active,0,0
1226164,295903,-33,18.0,10.0,Active,0,0
1029704,241147,-16,12.0,9.0,Active,0,0
2207537,303366,-42,12.0,10.0,Active,0,0
2037762,355847,-35,24.0,8.0,Active,0,0
1462249,377743,-37,8.0,7.0,Active,0,0
1619576,360819,-31,12.0,12.0,Active,0,0
1903171,283825,-30,18.0,14.0,Active,1,1
2741833,402931,-81,10.0,4.0,Active,0,0
2524969,441567,-21,30.0,28.0,Active,0,0
2083467,443870,-26,18.0,0.0,Completed,0,0
1002379,446926,-42,8.0,2.0,Active,0,0
1938129,292503,-72,10.0,2.0,Active,0,0
1005194,384959,-40,24.0,12.0,Active,0,0
1096058,417974,-70,12.0,0.0,Completed,0,0
1492478,201547,-7,36.0,21.0,Active,0,0
1556721,115404,-51,12.0,3.0,Active,0,0
2347584,168388,-57,18.0,2.0,Active,0,0
2819053,243417,-66,12.0,2.0,Active,0,0
1221429,243544,-6,18.0,15.0,Active,0,0
1287050,145539,-10,12.0,12.0,Active,0,0
2668148,257000,-40,36.0,34.0,Active,0,0
1316040,406943,-68,9.0,7.0,Active,0,0
2261835,428003,-22,24.0,14.0,Active,0,0
1466328,189745,-17,24.0,20.0,Active,0,0
2055807,242054,-50,10.0,2.0,Active,0,0
2658044,103540,-29,24.0,24.0,Active,0,0
1298332,244357,-4,6.0,3.0,Active,0,0
2636355,190305,-18,36.0,29.0,Active,0,0
2006906,434240,-82,6.0,4.0,Active,0,0
2138568,277071,-21,12.0,9.0,Active,0,0
1226945,217966,-12,29.0,0.0,Active,0,0
2763426,421585,-18,30.0,25.0,Active,0,0
1174921,243608,-10,12.0,9.0,Active,0,0
1143435,376293,-83,10.0,7.0,Active,0,0
2306001,102039,-48,6.0,1.0,Active,0,0
1772783,144362,-52,10.0,23.0,Active,0,0
1949899,156093,-29,6.0,0.0,Completed,0,0
2645312,300393,-29,5.0,0.0,Active,0,0
2796984,289176,-9,36.0,31.0,Active,0,0
1698210,145579,-66,24.0,14.0,Active,0,0
2216625,128959,-47,11.0,1.0,Active,0,0
1514808,356928,-64,12.0,7.0,Active,0,0
2792372,280669,-18,12.0,9.0,Active,0,0
2110702,226353,-18,24.0,22.0,Active,0,0
2090688,276138,-28,48.0,48.0,Active,0,0
1106980,158097,-93,6.0,3.0,Active,0,0
1514921,240324,-12,36.0,24.0,Active,0,0
2449011,108475,-65,10.0,0.0,Active,0,0
1133180,446636,-20,4.0,0.0,Completed,0,0
2209914,137176,-38,18.0,16.0,Active,0,0
2677254,163053,-26,8.0,8.0,Signed,0,0
2300425,179109,-3,2.0,0.0,Completed,0,0
1261993,210394,-19,60.0,59.0,Active,0,0
2106229,419052,-75,11.0,11.0,Active,0,0
2317885,389707,-51,18.0,9.0,Active,0,0
2567217,180962,-43,12.0,12.0,Active,0,0
1665584,395281,-74,10.0,10.0,Active,0,0
1510439,446079,-30,3.0,0.0,Completed,0,0
2471462,274570,-25,6.0,5.0,Active,0,0
2769397,454447,-39,18.0,12.0,Active,0,0
1338855,390132,-13,6.0,0.0,Demand,0,0
1924324,248340,-10,36.0,29.0,Active,0,0
1453101,154730,-14,36.0,7.0,Active,0,0
1780358,427723,-81,6.0,2.0,Active,0,0
1505180,265162,-13,12.0,0.0,Completed,0,0
2523411,360413,-15,12.0,11.0,Active,0,0
1369933,334257,-4,24.0,21.0,Active,0,0
1010331,267557,-10,12.0,12.0,Active,0,0
1217412,116543,-38,12.0,1.0,Active,0,0
1499014,238786,-73,12.0,12.0,Active,0,0
1773130,152092,-94,8.0,0.0,Active,0,0
1153016,112322,-74,12.0,1.0,Active,0,0
1794604,258163,-86,8.0,6.0,Active,0,0
1839968,309265,-19,42.0,42.0,Active,0,0
2409489,147458,-48,30.0,25.0,Active,0,0
2658052,172279,-24,12.0,3.0,Active,0,0
1619398,328072,-63,10.0,10.0,Active,0,0
1782636,435533,-41,5.0,5.0,Active,0,0
1836004,192831,-30,30.0,15.0,Active,0,0
1532595,181831,-8,12.0,8.0,Active,0,0
2714547,316634,-9,12.0,4.0,Active,0,0
1589321,368543,-70,12.0,1.0,Active,0,0
1891175,363106,-12,60.0,47.0,Active,0,0
2273333,220294,-37,12.0,0.0,Completed,0,0
1946813,226555,-2,12.0,12.0,Active,0,0
2720895,279796,-37,12.0,1.0,Active,0,0
2790800,138985,-77,10.0,7.0,Active,0,0
1117515,151942,-27,36.0,31.0,Active,0,0
2631525,408494,-88,7.0,2.0,Active,0,0
1683153,222279,-5,,,Signed,0,0
2064731,436602,-4,18.0,7.0,Active,0,0
2314146,339039,-34,31.0,25.0,Active,0,0
2613042,275107,-6,25.0,7.0,Active,0,0
2742100,337833,-65,14.0,10.0,Active,0,0
1389920,346768,-22,24.0,24.0,Active,0,0
1258237,221715,-69,18.0,15.0,Active,0,0
2632763,178570,-44,24.0,18.0,Active,0,0
2553894,169696,-68,10.0,2.0,Active,0,0
1661575,375832,-29,10.0,6.0,Active,0,0
1305654,413090,-11,16.0,12.0,Active,0,0
2831455,357734,-26,18.0,13.0,Active,0,0
2541443,159472,-6,18.0,18.0,Active,0,0
1926847,324110,-76,12.0,8.0,Active,0,0
1256244,101420,-22,18.0,18.0,Active,0,0
1948630,407073,-22,6.0,6.0,Active,0,0
1886560,316829,-21,48.0,44.0,Active,0,0
1030276,440876,-37,12.0,9.0,Active,0,0
1004406,199317,-75,12.0,12.0,Active,0,0
1230541,183730,-8,6.0,1.0,Active,0,0
2015432,304800,-6,10.0,6.0,Active,0,0
2459620,210154,-20,48.0,38.0,Active,0,0
1835845,326732,-40,6.0,4.0,Active,0,0
2791284,295697,-12,6.0,1.0,Active,0,0
1612982,105270,-3,1.0,0.0,Completed,0,0
2253380,450863,-53,10.0,1.0,Active,0,0
1409194,243236,-12,12.0,7.0,Active,0,0
2471531,266261,-46,12.0,11.0,Active,0,0
2661151,122115,-31,6.0,4.0,Active,0,0
2063333,398743,-10,36.0,23.0,Active,0,0
2269919,164048,-43,8.0,2.0,Active,0,0
1235051,294930,-5,12.0,11.0,Active,0,0
2437758,348226,-29,18.0,14.0,Active,0,0
2682036,428775,-30,12.0,7.0,Active,0,0
2428084,340100,-21,18.0,5.0,Active,0,0
2574885,335608,-27,36.0,34.0,Active,0,0
1537067,373030,-9,10.0,3.0,Active,0,0
2044108,216666,-3,12.0,3.0,Active,0,0
1715815,322131,-85,12.0,9.0,Active,0,0
1143468,428092,-28,18.0,16.0,Active,0,0
2149394,432153,-12,24.0,21.0,Active,0,0
2610247,371310,-36,9.0,3.0,Active,0,0
1438252,169453,-52,10.0,10.0,Active,0,0
1999128,436642,-5,48.0,5.0,Active,0,0
1419914,361858,-14,12.0,1.0,Active,0,0
1640556,203783,-19,36.0,28.0,Active,0,0
2272784,380358,-96,4.0,0.0,Active,0,0
2104670,103026,-28,14.0,0.0,Completed,0,0
2416548,323444,-47,24.0,1.0,Active,0,0
1817424,230475,-25,36.0,36.0,Signed,0,0
1234689,232093,-57,11.0,8.0,Active,0,0
2055646,305717,-8,42.0,15.0,Active,0,0
1868965,356185,-12,12.0,5.0,Active,0,0
1158036,321384,-22,30.0,17.0,Active,0,0
1770867,234343,-85,9.0,1.0,Active,0,0
2394997,356815,-56,12.0,4.0,Active,0,0
1024267,406043,-58,12.0,10.0,Active,0,0
1459592,450810,-16,24.0,5.0,Active,0,0
1028922,123165,-48,24.0,20.0,Active,0,0
2224249,411759,-10,13.0,0.0,Completed,0,0
