SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
199920,0,Cash loans,F,N,Y,0,202500.0,1183500.0,32674.5,1183500.0,Unaccompanied,State servant,Higher education,Single / not married,House / apartment,0.032561,-20369,-2304,-8343.0,-3900,,1,1,0,1,0,0,Medicine staff,1.0,1,1,WEDNESDAY,19,0,0,0,0,0,0,Medicine,,0.7147119843351268,0.1176137317080569,0.2474,0.1609,0.9881,,,0.32,0.1379,0.4583,0.0417,0.098,0.1984,0.2912,0.0154,0.0,0.2521,0.1669999999999999,0.9881,,,0.3222,0.1379,0.4583,0.0417,0.1003,0.2167,0.3034,0.0156,0.0,0.2498,0.1609,0.9881,,,0.32,0.1379,0.4583,0.0417,0.0997,0.2018,0.2964,0.0155,0.0,org spec account,block of flats,0.2697,Panel,No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,5.0
113755,0,Cash loans,M,Y,Y,0,171000.0,450000.0,23692.5,450000.0,Family,Working,Secondary / secondary special,Single / not married,Municipal apartment,0.009334,-9461,-1099,-4221.0,-2074,8.0,1,1,1,1,1,0,Core staff,1.0,2,2,THURSDAY,9,0,0,0,0,1,1,Business Entity Type 3,,0.4288070038757747,0.3016248916841194,0.0124,,0.9776,,,,0.1034,0.0417,,,,,,,0.0126,,0.9777,,,,0.1034,0.0417,,,,,,,0.0125,,0.9776,,,,0.1034,0.0417,,,,,,,,block of flats,0.0077,Wooden,No,4.0,0.0,4.0,0.0,-1136.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
279204,1,Cash loans,F,N,N,0,360000.0,544491.0,17563.5,454500.0,Unaccompanied,Working,Academic degree,Married,House / apartment,0.0035409999999999,-12641,-1399,-3692.0,-4217,,1,1,1,1,1,0,Accountants,2.0,1,1,FRIDAY,17,0,0,0,0,0,0,Housing,,0.5099995021214336,0.1428725230413196,0.038,0.0405,0.9856,0.8368,0.1099,0.0,0.1262,0.0467,0.0417,0.0422,0.0452,0.0298,0.0,0.0068,0.0032,0.0,0.9866,0.8236,0.0051,0.0,0.069,0.0417,0.0417,0.0095,0.0147,0.0013,0.0,0.0,0.0187,0.0,0.9866,0.8189,0.1106,0.0,0.069,0.0417,0.0417,0.0121,0.0188,0.0182,0.0,0.0,reg oper spec account,block of flats,0.0158,Wooden,No,0.0,0.0,0.0,0.0,-102.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
310899,0,Cash loans,M,N,N,0,67500.0,343800.0,16024.5,225000.0,Family,Working,Secondary / secondary special,Single / not married,House / apartment,0.003813,-13075,-648,-3342.0,-2350,,1,1,0,1,0,0,Laborers,1.0,2,2,THURSDAY,3,0,0,0,0,0,0,Business Entity Type 2,,0.1861764994068217,0.3506958432829587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-488.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
260502,0,Cash loans,F,N,N,0,67500.0,601470.0,25614.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020246,-18476,-2756,-11398.0,-2026,,1,1,0,1,0,1,Cooking staff,2.0,3,3,THURSDAY,9,0,0,0,0,0,0,Hotel,0.551121454867407,0.3285294368539788,0.4776491548517548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1932.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
313380,0,Cash loans,F,N,Y,0,112500.0,117162.0,12748.5,103500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.008625,-16621,-1420,-7967.0,-168,,1,1,0,1,0,0,Sales staff,2.0,2,2,TUESDAY,10,0,0,0,0,1,1,Self-employed,,0.262647799658983,0.6610235391308081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-116.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
132466,0,Cash loans,F,N,Y,0,67500.0,215640.0,9265.5,180000.0,Unaccompanied,Pensioner,Secondary / secondary special,Separated,House / apartment,0.031329,-18685,365243,-10089.0,-1492,,1,0,0,1,0,0,,1.0,2,2,FRIDAY,11,0,0,0,0,0,0,XNA,,0.4043437021144104,0.5884877883422673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1961.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
380208,0,Cash loans,F,N,N,0,72000.0,1185282.0,34785.0,1035000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.00496,-21134,365243,-3310.0,-3946,,1,0,0,1,0,0,,2.0,2,2,TUESDAY,15,0,0,0,0,0,0,XNA,,0.6993134296202385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-202.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
401389,0,Cash loans,F,Y,Y,0,135000.0,522576.0,15106.5,342000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020246,-10020,-3224,-682.0,-2601,14.0,1,1,0,1,0,0,Core staff,2.0,3,3,MONDAY,12,0,0,0,0,0,0,Advertising,0.2686212336420517,0.3493479700805511,0.3296550543128238,0.0639,0.0507,0.9876,0.83,,0.04,0.0345,0.3333,,0.081,,0.0645,,0.0175,0.0651,0.0526,0.9876,0.8367,,0.0403,0.0345,0.3333,,0.0828,,0.0672,,0.0186,0.0645,0.0507,0.9876,0.8323,,0.04,0.0345,0.3333,,0.0824,,0.0657,,0.0179,,block of flats,0.0581,"Stone, brick",No,0.0,0.0,0.0,0.0,-2343.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
215399,0,Cash loans,F,Y,Y,2,157500.0,545040.0,26509.5,450000.0,"Spouse, partner",Commercial associate,Incomplete higher,Married,House / apartment,0.001333,-12779,-279,-4744.0,-2212,18.0,1,1,0,1,0,0,Accountants,4.0,3,3,SATURDAY,3,0,0,0,0,0,0,Other,0.3156424814270799,0.5388748959861672,0.4118485559242397,0.0124,,0.9722,,,0.0,0.069,0.0417,,,,0.0064,,,0.0126,,0.9722,,,0.0,0.069,0.0417,,,,0.0066,,,0.0125,,0.9722,,,0.0,0.069,0.0417,,,,0.0065,,,,block of flats,0.009,,No,1.0,1.0,1.0,1.0,-529.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
