SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
403353,5775410,Active,currency 1,-209,0,156.0,,0.0,0,167908.5,87718.5,,0.0,Consumer credit,-11,15142.5
427318,5766350,Closed,currency 1,-2501,0,-2107.0,-2133.0,,0,80764.92,0.0,,0.0,Consumer credit,-738,
354969,6077714,Active,currency 1,-89,0,1737.0,,,0,544500.0,534681.0,0.0,0.0,Consumer credit,-22,
426153,5633248,Closed,currency 1,-2390,0,-564.0,-574.0,,0,1350000.0,0.0,0.0,0.0,Consumer credit,-547,
282493,6823678,Closed,currency 1,-1106,0,-128.0,-763.0,0.0,0,720157.5,,,0.0,Car loan,-740,
339996,5710233,Active,currency 1,-761,0,342.0,,,0,324000.0,307318.5,0.0,0.0,Credit card,-31,
132643,6210681,Closed,currency 1,-2382,0,30995.0,-1380.0,,0,315000.0,0.0,0.0,0.0,Credit card,-671,0.0
336301,5021582,Active,currency 1,-429,0,-126.0,,,0,58050.0,0.0,0.0,0.0,Consumer credit,-37,4288.5
190039,5759043,Active,currency 1,-357,0,739.0,,0.0,0,135000.0,52694.775,82305.225,0.0,Credit card,-223,
256346,5858439,Active,currency 1,-816,0,10143.0,,8959.5,0,220500.0,,,0.0,Credit card,-28,10066.5
305055,6660599,Closed,currency 1,-1218,0,-1096.0,-1037.0,,0,64755.0,,,0.0,Consumer credit,-1034,
236768,6553897,Closed,currency 1,-1224,0,-858.0,-887.0,,0,128592.0,0.0,0.0,0.0,Consumer credit,-887,
127823,6154307,Closed,currency 1,-1460,0,-1218.0,-1026.0,,0,170689.5,,,0.0,Consumer credit,-1023,45778.5
173177,5781208,Closed,currency 1,-733,0,-1.0,-64.0,,0,68850.0,0.0,0.0,0.0,Consumer credit,-58,
420041,5353183,Closed,currency 1,-2199,0,-1103.0,-1440.0,,0,450000.0,0.0,0.0,0.0,Consumer credit,-827,0.0
317131,5451700,Closed,currency 1,-2833,0,-1007.0,-1052.0,,0,890820.0,0.0,,0.0,Car loan,-1052,
353074,5919870,Active,currency 1,-177,0,391.0,,0.0,0,95400.0,84266.28,0.0,0.0,Consumer credit,-4,
260966,5683503,Closed,currency 1,-725,0,-360.0,-360.0,135.0,0,130117.5,0.0,0.0,0.0,Consumer credit,-355,
201845,6594145,Active,currency 1,-253,0,928.0,,,0,67500.0,58801.5,0.0,0.0,Credit card,-157,
352394,5560988,Active,currency 1,-1427,0,,,0.0,0,68400.0,66537.0,1860.435,0.0,Credit card,-15,
380442,5801718,Closed,currency 1,-900,0,-648.0,-648.0,9675.0,0,71829.0,,,0.0,Consumer credit,-646,
331467,6186389,Closed,currency 1,-526,0,-344.0,-344.0,,0,126000.0,0.0,,0.0,Consumer credit,-148,0.0
440099,6622711,Active,currency 1,-83,0,1721.0,,,0,0.0,0.0,0.0,0.0,Credit card,-20,0.0
355277,5590398,Closed,currency 1,-1206,0,-938.0,-938.0,0.0,0,367346.925,0.0,0.0,0.0,Consumer credit,-938,
395144,5902968,Closed,currency 1,-1761,0,-1103.0,-1239.0,,0,4500.0,0.0,,0.0,Credit card,-904,
128960,6681908,Closed,currency 1,-466,0,629.0,-163.0,0.0,0,225000.0,0.0,0.0,0.0,Consumer credit,-163,
240126,5986789,Closed,currency 1,-1419,0,-1297.0,-1297.0,,0,20862.0,0.0,,0.0,Consumer credit,-1137,
170090,5662356,Closed,currency 1,-1814,0,-1630.0,-1630.0,0.0,0,70735.275,0.0,0.0,0.0,Consumer credit,-1626,
