SK_ID_BUREAU,MONTHS_BALANCE,STATUS
6582442,-11,0
6670122,-62,C
5126148,-16,C
6304530,-20,C
5237508,-4,X
6842755,-2,C
6416254,-6,C
6643975,-38,C
5795014,-40,0
6531039,-4,C
5945466,-48,C
6437807,-32,X
6028378,-17,C
5536889,-55,X
6464155,-49,C
6255062,-33,X
5522437,-48,0
5100054,-51,0
6394607,-48,0
6299995,-50,X
6498274,-5,C
6639649,-30,C
6363534,-5,X
6687769,-53,X
6339733,-89,C
6230003,-34,0
5884674,-9,0
5882967,-79,0
6737976,-3,C
6169742,-20,0
6134251,-52,1
6375201,-3,0
5628945,-34,C
6586357,-13,C
6031577,-59,C
6374843,0,1
5876079,-25,C
5738436,-83,0
6664507,-48,0
6193219,-5,0
6623141,-7,X
5385189,-10,X
6776945,-51,X
6643181,-81,X
6602505,-16,X
6630283,-42,C
6088025,-85,X
6829693,-14,0
6095874,-9,X
6151040,0,C
5033876,-37,X
6010461,-57,C
6573716,-22,0
6327189,-27,1
6247924,-2,X
6615230,-13,X
6109262,-38,X
5345097,-36,C
6078748,-6,C
6299774,-5,C
6280960,-36,C
6308990,-49,X
6217588,-26,C
6558672,-36,0
6177241,-11,C
6218995,-21,C
6593840,-24,C
6404447,-67,C
6026912,-82,C
6631500,-9,X
6090295,-7,0
6358158,-2,C
6258726,-7,X
6297017,-75,C
6404091,-48,X
6609713,-41,C
5632513,-23,X
5145695,-3,0
6134612,-44,C
6518595,-3,C
6176043,-4,C
6020625,-5,C
5932053,-22,X
5901295,-26,X
5099994,-3,C
6837824,-60,0
5817816,-19,0
6486092,-47,X
6690150,-5,0
6161191,-46,0
5633597,-66,C
5339656,-94,0
5536628,-18,X
6120874,-28,C
6140965,-18,C
6152561,-39,C
6356863,-49,C
6834935,-17,C
5297846,-1,0
5868046,-9,C
5796715,-53,0
5121822,-13,0
6363870,-6,C
6754694,-9,X
5618007,-27,X
5120018,-51,C
5445051,-3,C
6232673,-5,X
6748072,-10,C
6092067,-44,X
6395439,-11,0
6546388,-51,C
5903492,-11,C
6387921,-49,0
6292632,-1,C
5853713,-14,C
5946515,-35,C
5958872,-37,X
6590939,-7,C
5197411,-22,C
6242791,-72,X
5004926,-71,X
5017130,-64,C
6293463,-70,X
6193603,-88,C
5541764,-61,C
5535713,-27,C
6665157,-23,C
6086953,-34,1
6022615,-1,0
6500815,-83,0
6192234,0,C
5298494,-52,C
5022877,-2,0
5025225,-32,C
5298683,-19,C
5996626,-5,C
5864219,-19,C
6651070,-11,C
5562625,-19,C
6368591,-90,X
6183543,-33,C
5542224,-22,X
6087255,-3,C
6212663,-44,0
6744088,-37,0
5915876,-77,C
5969580,-24,0
5872762,-10,C
6270347,-8,X
6723472,-2,C
6548567,-9,0
5795057,-22,C
6360765,-48,C
5427767,-12,X
6593633,-49,X
5742392,-77,C
6452788,-36,C
5558981,-79,0
6747987,-7,C
6296691,-35,C
5816897,-72,C
6773029,-93,X
5113286,-3,X
5205695,-34,C
6567884,-47,X
5474452,-12,X
6570612,-3,C
6158807,-3,0
5839056,-10,X
6325073,-3,C
6736433,-9,C
6005356,-5,C
5845372,-10,C
5182936,-1,0
5617651,-10,C
5406285,-29,0
5993705,-19,C
5427136,-78,X
5958648,-82,X
5626713,-23,C
6262369,-5,0
6208391,-22,C
5769260,-63,X
6574463,-11,C
6691962,-6,0
6160927,-27,C
5628891,-36,C
6759121,-37,C
6574359,-13,C
5937729,-26,0
6827092,-6,C
5735353,-31,0
6151623,-44,0
5853077,-12,X
6546529,-7,C
5720601,-23,C
6387945,-21,C
5965004,-92,X
6685500,-53,0
6809849,-43,0
6388535,-47,0
5004540,-20,C
5197984,-38,C
5761799,-58,C
5959830,-88,C
5372801,-28,0
6097027,-50,C
6753502,-3,1
5824641,-40,0
5024368,-61,C
6202390,-4,0
6776463,-3,C
6322059,-34,C
5566854,-33,0
6452516,-39,C
6692631,-4,0
5535948,0,C
5189818,-13,X
6660856,-7,0
5541810,-44,X
6603226,-7,0
6837428,-35,C
5784941,-2,C
6097321,-22,C
6392404,-46,0
5667919,-1,C
6797580,-29,0
6772362,-96,0
6134707,-3,C
6781674,-7,C
6692499,-6,0
6724203,-57,0
6061525,-28,C
5659385,-21,C
5467891,-39,X
6308475,-48,0
6363085,-9,C
5067158,-1,C
6138817,-30,0
6066420,0,C
6743782,-50,X
6211918,-89,C
6509125,-12,C
6000619,-22,C
6836774,-78,X
6646141,-35,C
6816250,-40,C
6820811,-3,C
6448305,-1,0
6137277,-29,C
6775426,-27,C
5863959,-14,0
5929573,-55,C
6400107,-30,X
5901260,-65,0
6373066,-26,0
6583710,-34,C
6810889,-55,C
6327239,-6,C
6766951,-37,C
5503558,-15,C
6780421,-47,C
5736856,-63,C
6024016,-19,C
6499639,-5,C
5117292,-48,0
5069014,-55,C
6546393,-64,C
6249242,-32,0
5814302,-49,0
6481391,-15,C
5352594,-34,C
5090685,-20,0
5954563,-8,C
5360641,-13,C
5515200,-15,C
6707016,-23,X
6743148,-58,0
6407506,-42,X
6431980,-88,X
6476914,-33,C
5005180,-57,0
6689873,-15,X
6685184,-89,0
6211457,-17,C
