SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
1545615,340883,-4,134422.335,135000,62100.0,73079.01,0.0,10979.01,2250.0,7200.0,154.17,133716.87,134422.335,134422.335,5.0,10,0.0,5.0,6.0,Active,0,0
2640990,448924,-74,0.0,67500,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
2260063,268307,-32,0.0,225000,0.0,0.0,0.0,0.0,0.0,391.185,391.185,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,Active,0,0
1666627,449149,-25,73401.03,180000,0.0,0.0,0.0,0.0,9000.0,9000.0,9000.0,69398.235,73401.03,73401.03,0.0,0,0.0,0.0,62.0,Active,0,0
2308122,238528,-70,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,19.0,Active,0,0
2363321,116193,-7,0.0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1880893,277803,-38,0.0,45000,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
1453125,146682,-11,450724.32,450000,0.0,35458.02,0.0,35458.02,21827.25,22500.0,22500.0,445003.335,450724.32,450724.32,0.0,19,0.0,19.0,28.0,Active,0,0
1905099,224435,-43,0.0,450000,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
1060766,153704,-53,134.37,157500,0.0,0.0,0.0,0.0,7875.0,10440.0,10440.0,0.0,-105.975,-105.975,0.0,0,0.0,0.0,41.0,Active,0,0
1181361,291363,-3,0.0,225000,0.0,0.0,0.0,0.0,226.08,272.295,272.295,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,Active,0,0
2528857,269745,-12,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2208151,179859,-67,155115.9,157500,0.0,0.0,0.0,0.0,7875.0,9000.0,9000.0,149397.795,155115.9,155115.9,0.0,0,0.0,0.0,6.0,Active,0,0
1106868,270841,-8,0.0,45000,0.0,0.0,0.0,0.0,0.0,133.65,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,57.0,Active,0,0
1694950,336558,-5,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1008559,446796,-66,68828.625,90000,0.0,0.0,0.0,0.0,4500.0,4500.0,4500.0,66313.62,68828.625,68828.625,0.0,0,0.0,0.0,35.0,Active,0,0
2831078,441210,-10,0.0,135000,0.0,0.0,0.0,0.0,0.0,3177.27,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,27.0,Active,0,0
2397911,134829,-2,0.0,45000,0.0,0.0,0.0,0.0,0.0,42.75,42.75,0.0,0.0,0.0,0.0,0,0.0,0.0,8.0,Active,0,0
2716096,207632,-3,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2011399,444962,-55,0.0,0,0.0,0.0,0.0,0.0,0.0,194.265,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,15.0,Active,0,0
1184783,140804,-39,0.0,0,0.0,0.0,0.0,0.0,0.0,503.46,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,Active,0,0
1471700,407189,-22,0.0,900000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1102124,314100,-9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,23.0,Completed,0,0
2378363,344131,-47,53820.9,180000,41850.0,41850.0,0.0,0.0,9000.0,9000.0,9000.0,45057.78,53820.9,53820.9,5.0,5,0.0,0.0,30.0,Active,0,0
1845037,232699,-3,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Completed,0,0
1627192,390745,-44,0.0,45000,0.0,0.0,0.0,0.0,0.0,189.72,0.0,0.0,-189.72,-189.72,0.0,0,0.0,0.0,43.0,Active,0,0
2477015,232038,-1,0.0,45000,0.0,0.0,0.0,0.0,0.0,131.715,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,81.0,Active,0,0
2506166,217222,-66,110.25,67500,0.0,0.0,0.0,0.0,3375.0,4905.0,4905.0,0.0,107.145,107.145,0.0,0,0.0,0.0,29.0,Active,0,0
2536116,147832,-56,65159.1,67500,0.0,0.0,0.0,0.0,3375.0,0.0,0.0,59033.655,65159.1,65159.1,0.0,0,0.0,0.0,32.0,Active,1,1
2094963,243708,-18,144932.085,135000,79200.0,89901.0,0.0,10701.0,2250.0,0.0,0.0,134897.985,139550.085,139550.085,4.0,11,0.0,7.0,2.0,Active,0,0
1612879,415528,-19,0.0,112500,0.0,0.0,0.0,0.0,0.0,1.755,1.755,0.0,0.0,0.0,0.0,0,0.0,0.0,13.0,Active,0,0
2792171,129968,-71,88716.87,90000,5400.0,5400.0,0.0,0.0,4500.0,13500.0,13500.0,83572.02,88716.87,88716.87,2.0,2,0.0,0.0,17.0,Active,0,0
2429537,129463,-11,80778.915,90000,38250.0,47628.0,0.0,9378.0,2250.0,18413.73,18413.73,68627.88,69785.415,69785.415,7.0,16,0.0,9.0,2.0,Active,0,0
1667856,117013,-2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.0,Active,0,0
2459174,278996,-48,0.0,0,0.0,0.0,0.0,0.0,0.0,83.565,0.0,0.0,-83.565,-83.565,0.0,0,0.0,0.0,30.0,Active,0,0
1915869,216801,-4,82066.815,157500,0.0,0.0,0.0,0.0,2250.0,6750.0,1981.215,81875.925,82066.815,82066.815,0.0,0,0.0,0.0,16.0,Active,0,0
2562276,399976,-20,0.0,225000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2052952,226219,-77,134323.92,180000,0.0,0.0,0.0,0.0,9000.0,13500.0,13500.0,128469.825,134323.92,134323.92,0.0,0,0.0,0.0,10.0,Active,0,0
2387568,146381,-3,0.0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2288018,272885,-25,0.0,67500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,30.0,Completed,0,0
2235659,257653,-4,0.0,4500,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2496074,360411,-21,0.0,45000,0.0,0.0,0.0,0.0,0.0,77.58,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,43.0,Active,0,0
2511204,223542,-80,93454.65,90000,0.0,39397.5,39397.5,0.0,4500.0,4500.0,4500.0,89146.395,93454.65,93454.65,0.0,1,1.0,0.0,3.0,Active,0,0
1486376,257464,-11,0.0,900000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2772634,151346,-8,250033.185,270000,126000.0,127624.5,0.0,1624.5,0.0,6750.0,172.17,245680.74,248462.685,248462.685,1.0,4,0.0,3.0,0.0,Active,0,0
2817374,163605,-90,112224.42,157500,0.0,0.0,0.0,0.0,7875.0,9000.0,9000.0,108077.715,112224.42,112224.42,0.0,0,0.0,0.0,7.0,Active,0,0
2565496,382147,-3,413721.495,450000,0.0,0.0,0.0,0.0,21787.2,22500.0,1121.04,405079.605,413721.495,413721.495,0.0,0,0.0,0.0,20.0,Active,0,0
1135446,280042,-92,133675.92,45000,12600.0,12600.0,0.0,0.0,8100.0,8100.0,8100.0,126748.53,133675.92,133675.92,3.0,3,0.0,0.0,15.0,Active,0,0
1244505,199243,-9,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1565487,162589,-19,373184.37,450000,0.0,25420.5,0.0,25420.5,18653.22,40500.0,22500.0,371182.365,375883.74,375883.74,0.0,2,0.0,2.0,17.0,Active,0,0
2726000,300211,-14,0.0,0,0.0,0.0,0.0,0.0,0.0,70.065,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,19.0,Active,0,0
1911609,244521,-8,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2613582,249078,-19,0.0,90000,0.0,0.0,0.0,0.0,0.0,769.545,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,26.0,Active,0,0
1723729,213693,-79,0.0,90000,0.0,0.0,0.0,0.0,0.0,1046.79,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,16.0,Active,0,0
2460051,356609,-2,93120.075,90000,0.0,0.0,0.0,0.0,4500.0,0.0,0.0,86408.28,93345.075,93345.075,0.0,0,0.0,0.0,85.0,Active,1,1
1130713,144554,-25,40388.76,112500,0.0,0.0,0.0,0.0,5625.0,9000.0,9000.0,37895.85,40388.76,40388.76,0.0,0,0.0,0.0,52.0,Active,0,0
2465479,266227,-3,0.0,180000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1413705,451084,-30,0.0,67500,0.0,0.0,0.0,0.0,0.0,1275.66,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,48.0,Active,0,0
1112370,315918,-41,0.0,90000,0.0,0.0,0.0,0.0,0.0,183.69,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,55.0,Active,0,0
2248492,258198,-6,0.0,0,0.0,0.0,0.0,0.0,0.0,140.4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,15.0,Active,0,0
2369705,360401,-10,0.0,360000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1559823,107585,-17,256443.885,540000,0.0,0.0,0.0,0.0,13217.715,13500.0,13500.0,250854.525,259080.975,259080.975,0.0,0,0.0,0.0,7.0,Active,0,0
1752768,139769,-23,0.0,112500,0.0,0.0,0.0,0.0,0.0,6063.39,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,25.0,Active,0,0
2814144,402573,-23,151.965,90000,0.0,0.0,0.0,0.0,4500.0,43650.0,43650.0,0.0,0.0,0.0,0.0,0,0.0,0.0,81.0,Active,0,0
2820931,363430,-66,50636.025,135000,0.0,0.0,0.0,0.0,6750.0,14850.0,14850.0,47376.945,50636.025,50636.025,0.0,0,0.0,0.0,9.0,Active,0,0
2077810,269042,-9,0.0,0,0.0,0.0,0.0,0.0,0.0,126.405,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,46.0,Active,0,0
1987910,119358,-35,0.0,0,0.0,0.0,0.0,0.0,0.0,275.67,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.0,Active,0,0
1539220,421755,-17,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1259284,426849,-3,0.0,0,0.0,0.0,0.0,0.0,0.0,105.48,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,Active,0,0
1770464,144634,-43,59634.855,90000,0.0,0.0,0.0,0.0,4500.0,4500.0,4500.0,56939.445,59634.855,59634.855,0.0,0,0.0,0.0,47.0,Active,0,0
