SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
1088313,219774,1.0,1,-1782.0,-1787.0,18702.495,18702.495
2392930,423655,1.0,2,-840.0,-865.0,6306.525,6306.525
2258098,353567,0.0,13,-1952.0,-1952.0,71685.0,71685.0
2568350,173720,2.0,5,-1560.0,-1562.0,60281.28,60281.28
1460803,370048,1.0,2,-2425.0,-2422.0,13526.775,13526.775
1041901,160093,0.0,99,-565.0,-565.0,165.87,165.87
1435693,183077,1.0,13,-171.0,-182.0,22197.825,22197.825
1251752,250896,1.0,4,-1652.0,-1652.0,17001.765,17001.765
2763601,258685,1.0,3,-47.0,-70.0,16337.25,16337.25
2568300,413283,1.0,9,-1010.0,-1045.0,4893.525,4771.8
1891127,160580,1.0,22,-636.0,-638.0,20542.185,20542.185
1410393,390619,2.0,10,-328.0,-335.0,12983.625,12983.625
1423866,375662,1.0,4,-2187.0,-2217.0,4116.105,4116.105
1486001,409032,1.0,2,-568.0,-568.0,17415.0,17415.0
2121101,136741,1.0,10,-781.0,-782.0,8115.57,8115.57
1617441,397533,1.0,4,-258.0,-265.0,4029.66,4029.66
1330876,373105,1.0,10,-120.0,-152.0,8699.76,8699.76
2251446,217440,1.0,17,-500.0,-527.0,12443.58,12443.58
2619300,214188,1.0,19,-695.0,-701.0,53029.935,53029.935
1251322,141661,0.0,96,-971.0,-971.0,1189.125,1189.125
1598485,100143,0.0,18,-2497.0,-2497.0,4500.0,4500.0
2586235,114148,2.0,5,-360.0,-388.0,30878.235,30878.235
2190581,378362,2.0,7,-2054.0,-2062.0,169004.52,169004.52
1008179,354637,1.0,5,-2159.0,-2162.0,8995.905,8995.905
1473597,268043,1.0,5,-1943.0,-1955.0,4226.22,4226.22
2613847,439674,1.0,5,-1158.0,-1199.0,7412.895,7412.895
2205953,400685,1.0,8,-522.0,-526.0,14601.375,14601.375
1693365,428114,1.0,9,-393.0,-392.0,113231.295,98700.75
1420615,389414,0.0,64,-1503.0,-1503.0,215.19,215.19
1121641,137464,1.0,21,-592.0,-602.0,21528.495,21528.495
2056345,420010,1.0,15,-472.0,-474.0,25026.48,25026.48
1129315,440822,1.0,16,-235.0,-240.0,6752.7,6752.7
1077127,229358,1.0,5,-318.0,-329.0,6436.44,6436.44
2668771,348275,1.0,21,-281.0,-281.0,33643.845,33643.845
2272450,432832,1.0,3,-1304.0,-1319.0,8681.49,8681.49
2154994,346009,1.0,5,-878.0,-896.0,12643.74,12643.74
1109486,314193,1.0,3,-744.0,-743.0,16447.635,16447.635
2382713,400916,2.0,23,-656.0,-768.0,13695.525,13695.525
2049313,254572,1.0,4,-2412.0,-2435.0,7146.63,7146.63
2729390,372397,0.0,6,-543.0,-543.0,678.6,678.6
2257950,367779,1.0,15,-24.0,-31.0,15068.745,15068.745
2346579,444836,1.0,8,-1051.0,-1051.0,50031.0,50031.0
1730982,260460,0.0,63,-1307.0,-1323.0,4500.0,4500.0
2527289,209838,1.0,7,-2137.0,-2141.0,5054.085,5054.085
2486482,420612,2.0,15,-1221.0,-1220.0,12502.035,12502.035
1231527,338593,1.0,1,-205.0,-220.0,10294.2,10294.2
1389052,128150,1.0,7,-486.0,-487.0,4915.935,4915.935
1839765,368134,1.0,11,-72.0,-73.0,17422.965,22869.0
1915297,331676,0.0,96,-1799.0,-1770.0,67.5,54.36
2825077,109643,1.0,3,-586.0,-587.0,27704.97,27704.97
2584383,336072,0.0,65,-1777.0,-1777.0,1125.0,1125.0
1389180,292235,1.0,1,-1768.0,-1779.0,19923.345,19923.345
2158131,345323,1.0,4,-761.0,-776.0,3278.52,3278.52
1715021,196460,0.0,14,-2806.0,-2830.0,4050.0,4050.0
1139720,429943,1.0,7,-1543.0,-1541.0,10832.76,10813.32
2430327,138597,3.0,5,-468.0,-487.0,58606.29,58606.29
2704497,426903,1.0,3,-827.0,-840.0,10634.31,10634.31
1368722,173618,0.0,8,-723.0,-723.0,2441.295,2441.295
1460748,365994,6.0,105,-386.0,-367.0,4302.36,4302.36
1261495,243060,0.0,58,-723.0,-732.0,5625.0,5625.0
1531331,127197,0.0,71,-999.0,-999.0,114.03,114.03
2161682,423350,1.0,6,-2303.0,-2322.0,5246.01,292.32
1727525,165999,1.0,7,-1621.0,-1629.0,11460.735,11460.735
2491290,149689,1.0,4,-573.0,-560.0,11746.8,7410.465
1147242,193379,2.0,16,-830.0,-855.0,104879.79,104879.79
2640933,388498,0.0,56,-1404.0,-1404.0,214.785,214.785
1694092,368773,1.0,1,-332.0,-340.0,18911.565,18911.565
2447851,185706,0.0,28,-2305.0,-2316.0,4500.0,4500.0
2192265,313660,1.0,3,-52.0,-58.0,5871.87,5871.87
2002357,198714,1.0,2,-379.0,-411.0,4332.915,4332.915
1002126,284052,1.0,7,-2787.0,-2781.0,6294.87,6291.0
2541561,128892,1.0,6,-1183.0,-1184.0,3348.72,3348.72
1721478,254441,1.0,6,-432.0,-453.0,48950.685,48950.685
2154074,439312,1.0,3,-1690.0,-1726.0,5753.025,12.915
1435407,329682,0.0,59,-1618.0,-1619.0,5625.0,5625.0
1567391,439130,0.0,23,-159.0,-169.0,4505.625,4505.625
1928599,425786,1.0,4,-314.0,-328.0,13626.855,13626.855
2707230,224800,1.0,1,-2231.0,-2241.0,2480.805,2480.805
1752108,315899,1.0,9,-580.0,-585.0,10976.94,10976.94
1160709,353508,1.0,4,-1920.0,-1929.0,4581.585,4581.585
1385356,235822,0.0,49,-1154.0,-1154.0,1294.65,1294.65
2307679,449501,0.0,3,-1612.0,-1612.0,9450.0,9450.0
1312171,122158,1.0,2,-2270.0,-2279.0,4734.54,4734.54
1561287,396834,0.0,45,-2073.0,-2073.0,2250.0,2250.0
2369095,229359,1.0,8,-447.0,-457.0,8407.935,8407.935
2671351,180248,1.0,6,-420.0,-427.0,14214.42,14214.42
1541589,369468,1.0,4,-1603.0,-1626.0,5908.725,5908.725
2538094,408077,1.0,26,-496.0,-501.0,8956.125,8956.125
2806325,296975,1.0,5,-2298.0,-2304.0,4821.84,4821.84
2060518,401266,1.0,10,-490.0,-490.0,19025.1,19025.1
2106602,324315,1.0,3,-1580.0,-1586.0,5668.335,5668.335
