SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
2054622,194169,Cash loans,15216.255,67500.0,78196.5,,67500.0,WEDNESDAY,18,Y,1,,,,XNA,Approved,-682,Cash through the bank,XAP,Family,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,6.0,high,Cash X-Sell: high,,,,,,
2672835,170049,Consumer loans,2960.145,23661.0,23166.0,2367.0,23661.0,SATURDAY,9,Y,1,0.1009626045438523,,,XAP,Approved,-508,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Country-wide,68,Connectivity,10.0,high,POS mobile with interest,365243.0,-477.0,-207.0,-207.0,-199.0,0.0
2675391,378067,Consumer loans,9272.34,72826.2,81637.2,0.0,72826.2,SATURDAY,10,Y,1,0.0,,,XAP,Approved,-295,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Country-wide,30,Connectivity,10.0,low_normal,POS mobile without interest,365243.0,-233.0,37.0,365243.0,365243.0,0.0
2249893,167483,Cash loans,14514.12,315000.0,381528.0,,315000.0,TUESDAY,16,Y,1,,,,XNA,Refused,-144,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,middle,Cash X-Sell: middle,,,,,,
1785815,385113,Consumer loans,20822.805,203760.0,221782.5,0.0,203760.0,MONDAY,13,Y,1,0.0,,,XAP,Refused,-1726,Cash through the bank,HC,Unaccompanied,Repeater,Furniture,POS,XNA,Stone,36,Furniture,12.0,low_normal,POS industry with interest,,,,,,
2653881,156246,Cash loans,16583.535,225000.0,254700.0,,225000.0,WEDNESDAY,17,Y,1,,,,XNA,Canceled,-55,XNA,XAP,"Spouse, partner",Repeater,XNA,Cash,x-sell,Contact center,-1,XNA,24.0,middle,Cash X-Sell: middle,,,,,,
1761538,433659,Cash loans,11420.82,225000.0,269550.0,,225000.0,THURSDAY,10,Y,1,,,,Repairs,Approved,-734,Cash through the bank,XAP,,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,low_normal,Cash Street: low,365243.0,-701.0,349.0,365243.0,365243.0,0.0
2617933,454140,Consumer loans,8495.01,188568.0,188568.0,0.0,188568.0,SATURDAY,17,Y,1,0.0,,,XAP,Approved,-220,Cash through the bank,XAP,Unaccompanied,Repeater,Audio/Video,POS,XNA,Regional / Local,100,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-187.0,503.0,365243.0,365243.0,0.0
1026842,313994,Consumer loans,7073.55,67027.5,66294.0,6705.0,67027.5,THURSDAY,9,Y,1,0.100033624370944,,,XAP,Approved,-2099,Cash through the bank,XAP,Unaccompanied,New,Gardening,POS,XNA,Stone,105,Industry,12.0,middle,POS industry with interest,365243.0,-2063.0,-1733.0,-1733.0,-1725.0,0.0
1299938,193983,Cash loans,14934.69,463500.0,463500.0,,463500.0,SATURDAY,10,Y,1,,,,Other,Refused,-251,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,48.0,low_normal,Cash Street: low,,,,,,
1989685,254516,Cash loans,14251.185,112500.0,135648.0,,112500.0,MONDAY,12,Y,1,,,,XNA,Approved,-1101,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-1071.0,-741.0,-741.0,-738.0,1.0
1695444,130017,Cash loans,,0.0,0.0,,,FRIDAY,11,Y,1,,,,XNA,Canceled,-186,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1406365,394198,Cash loans,9950.13,135000.0,152820.0,,135000.0,THURSDAY,10,Y,1,,,,Repairs,Approved,-313,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,middle,Cash Street: middle,365243.0,-283.0,407.0,-43.0,-37.0,1.0
2025835,287367,Cash loans,22680.045,225000.0,247275.0,,225000.0,FRIDAY,16,Y,1,,,,Repairs,Refused,-530,Cash through the bank,LIMIT,,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,high,Cash Street: high,,,,,,
2616207,303244,Cash loans,12466.035,180000.0,203760.0,,180000.0,SATURDAY,12,Y,1,,,,XNA,Refused,-427,Cash through the bank,HC,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,middle,Cash X-Sell: middle,,,,,,
1537196,265128,Cash loans,16097.04,180000.0,203760.0,,180000.0,WEDNESDAY,7,Y,1,,,,XNA,Approved,-836,XNA,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,24.0,high,Cash X-Sell: high,365243.0,-806.0,-116.0,-386.0,-358.0,1.0
1522555,288623,Consumer loans,11497.275,80640.0,41917.5,40320.0,80640.0,WEDNESDAY,11,Y,1,0.5339674169879367,,,XAP,Approved,-72,Cash through the bank,XAP,Family,Repeater,Computers,POS,XNA,Stone,7,Consumer electronics,4.0,middle,POS household with interest,365243.0,365243.0,67.0,365243.0,365243.0,0.0
1332195,200530,Consumer loans,28215.225,231484.5,244215.0,0.0,231484.5,MONDAY,11,Y,1,0.0,,,XAP,Approved,-1045,Cash through the bank,XAP,Family,New,Construction Materials,POS,XNA,Regional / Local,531,Construction,10.0,middle,POS industry with interest,365243.0,-1014.0,-744.0,-744.0,-738.0,0.0
